Date,Region,Product,Category,Quantity_Sold,Unit_Price,Total_Sales
2025-05-15,Central,Keyboard,Accessories,4,39203,156812
2024-02-29,East,Phone,Electronics,9,35962,323658
2024-08-19,South,Monitor,Electronics,1,59066,59066
2024-03-08,West,Tablet,Electronics,6,6077,36462
2024-12-17,South,Phone,Electronics,8,56278,450224
2023-08-11,East,Keyboard,Accessories,7,37078,259546
2023-09-03,Central,Tablet,Electronics,4,48972,195888
2025-03-25,North,Keyboard,Accessories,2,42806,85612
2023-11-23,South,Keyboard,Accessories,10,25578,255780
2025-03-09,North,Laptop,Electronics,2,5496,10992
2024-12-09,South,Phone,Electronics,5,38278,191390
2023-07-14,East,Laptop,Electronics,2,16457,32914
2023-12-15,North,Monitor,Electronics,8,35677,285416
2025-06-15,North,Monitor,Electronics,4,67031,268124
2023-08-03,West,Laptop,Electronics,3,36089,108267
2025-02-27,Central,Phone,Electronics,9,32740,294660
2024-10-15,South,Laptop,Electronics,2,15629,31258
2023-08-07,North,Phone,Electronics,8,34565,276520
2023-11-15,East,Keyboard,Accessories,1,26489,26489
2024-10-10,North,Laptop,Electronics,5,26818,134090
2023-10-12,South,Monitor,Electronics,10,24726,247260
2023-12-26,South,Laptop,Electronics,5,22171,110855
2025-06-21,West,Monitor,Electronics,1,66993,66993
2023-11-25,South,Keyboard,Accessories,2,26562,53124
2023-08-11,East,Phone,Electronics,9,17849,160641
2024-01-02,East,Monitor,Electronics,8,42852,342816
2024-08-01,West,Phone,Electronics,4,62951,251804
2024-07-25,South,Phone,Electronics,10,67301,673010
2023-10-30,South,Phone,Electronics,5,41831,209155
2024-08-08,West,Monitor,Electronics,7,26263,183841
2023-09-30,Central,Keyboard,Accessories,8,62805,502440
2024-09-17,East,Tablet,Electronics,8,40563,324504
2024-10-05,South,Laptop,Electronics,10,65139,651390
2024-11-20,West,Tablet,Electronics,10,10664,106640
2023-08-27,West,Keyboard,Accessories,3,38156,114468
2024-10-15,North,Tablet,Electronics,10,5104,51040
2025-01-30,North,Tablet,Electronics,2,55765,111530
2024-07-08,East,Phone,Electronics,8,39033,312264
2023-08-20,East,Tablet,Electronics,8,25988,207904
2024-01-25,Central,Tablet,Electronics,7,56488,395416
2024-05-03,South,Monitor,Electronics,5,19728,98640
2024-10-27,East,Phone,Electronics,1,35991,35991
2025-04-18,Central,Phone,Electronics,10,43353,433530
2024-03-03,North,Phone,Electronics,9,67475,607275
2024-03-24,West,Laptop,Electronics,5,8461,42305
2025-06-10,South,Phone,Electronics,9,62055,558495
2024-11-16,Central,Monitor,Electronics,8,31703,253624
2025-06-08,East,Laptop,Electronics,10,63067,630670
2023-08-03,West,Phone,Electronics,8,30493,243944
2023-07-16,West,Monitor,Electronics,1,35880,35880
2024-04-24,West,Phone,Electronics,2,66311,132622
2024-10-18,Central,Keyboard,Accessories,2,60056,120112
2024-09-19,North,Monitor,Electronics,8,56489,451912
2024-09-14,West,Laptop,Electronics,9,53184,478656
2024-06-19,North,Tablet,Electronics,6,19301,115806
2023-09-04,West,Tablet,Electronics,3,51131,153393
2023-12-07,Central,Keyboard,Accessories,4,35221,140884
2023-12-30,North,Monitor,Electronics,8,52327,418616
2023-09-11,Central,Keyboard,Accessories,1,32302,32302
2025-04-19,North,Phone,Electronics,4,61515,246060
2025-02-26,Central,Monitor,Electronics,6,67168,403008
2024-01-30,North,Keyboard,Accessories,1,33544,33544
2024-04-09,North,Monitor,Electronics,6,65090,390540
2024-04-23,Central,Tablet,Electronics,3,53110,159330
2023-08-14,South,Phone,Electronics,10,28779,287790
2024-09-12,Central,Tablet,Electronics,9,55519,499671
2024-01-04,Central,Phone,Electronics,6,64481,386886
2023-10-27,Central,Phone,Electronics,10,65570,655700
2023-08-23,North,Keyboard,Accessories,10,56391,563910
2024-07-31,West,Laptop,Electronics,5,68533,342665
2024-12-25,Central,Tablet,Electronics,3,59987,179961
2025-05-08,North,Monitor,Electronics,8,63648,509184
2025-06-25,North,Phone,Electronics,3,33481,100443
2024-08-11,South,Tablet,Electronics,6,21100,126600
2024-08-09,East,Tablet,Electronics,6,51684,310104
2025-06-15,Central,Laptop,Electronics,3,21749,65247
2025-04-06,West,Laptop,Electronics,4,7654,30616
2025-01-13,East,Phone,Electronics,8,62265,498120
2025-05-06,South,Laptop,Electronics,7,22157,155099
2023-07-04,West,Monitor,Electronics,4,59936,239744
2023-11-17,North,Tablet,Electronics,10,61840,618400
2025-05-09,West,Monitor,Electronics,8,16579,132632
2024-07-07,Central,Phone,Electronics,1,28339,28339
2025-04-27,North,Monitor,Electronics,6,68557,411342
2024-03-11,South,Tablet,Electronics,1,56064,56064
2024-03-03,North,Monitor,Electronics,8,31662,253296
2025-06-27,West,Phone,Electronics,2,59865,119730
2024-01-13,North,Monitor,Electronics,1,22239,22239
2024-11-24,North,Phone,Electronics,6,13085,78510
2025-05-13,West,Monitor,Electronics,5,22306,111530
2024-07-11,South,Monitor,Electronics,9,34582,311238
2024-07-15,West,Monitor,Electronics,6,67818,406908
2024-07-11,South,Monitor,Electronics,1,16988,16988
2024-05-12,West,Phone,Electronics,9,5621,50589
2025-06-19,Central,Keyboard,Accessories,9,13588,122292
2024-12-06,West,Tablet,Electronics,1,40806,40806
2023-11-28,South,Phone,Electronics,3,36504,109512
2023-08-23,West,Monitor,Electronics,1,61154,61154
2023-12-15,Central,Tablet,Electronics,5,27663,138315
2024-01-07,Central,Keyboard,Accessories,4,45269,181076
2023-08-13,West,Phone,Electronics,6,45662,273972
2024-09-09,South,Phone,Electronics,5,11745,58725
2024-10-21,Central,Tablet,Electronics,1,41336,41336
2023-11-25,West,Phone,Electronics,6,68677,412062
2024-11-25,North,Laptop,Electronics,5,41742,208710
2024-12-15,North,Phone,Electronics,4,22539,90156
2024-07-20,South,Keyboard,Accessories,5,65173,325865
2025-02-09,Central,Tablet,Electronics,3,38976,116928
2024-02-05,North,Laptop,Electronics,9,30348,273132
2024-10-19,West,Keyboard,Accessories,9,38702,348318
2025-01-01,South,Keyboard,Accessories,10,8280,82800
2023-07-08,West,Phone,Electronics,4,14197,56788
2025-02-27,West,Monitor,Electronics,3,55177,165531
2025-03-15,East,Tablet,Electronics,10,48093,480930
2024-11-29,West,Laptop,Electronics,6,11182,67092
2024-02-18,South,Laptop,Electronics,10,59620,596200
2024-06-29,West,Tablet,Electronics,5,20431,102155
2025-02-13,West,Laptop,Electronics,8,34849,278792
2024-06-02,East,Keyboard,Accessories,3,67962,203886
2024-01-21,West,Tablet,Electronics,9,43685,393165
2025-05-29,East,Keyboard,Accessories,7,29588,207116
2025-04-24,Central,Monitor,Electronics,4,62929,251716
2025-01-25,North,Keyboard,Accessories,2,56698,113396
2024-08-01,East,Tablet,Electronics,10,6837,68370
2024-08-09,Central,Monitor,Electronics,3,36799,110397
2025-02-21,Central,Phone,Electronics,2,56024,112048
2024-02-22,North,Tablet,Electronics,6,18954,113724
2025-04-01,Central,Phone,Electronics,2,14395,28790
2024-10-03,North,Laptop,Electronics,1,45311,45311
2023-07-11,North,Monitor,Electronics,7,63646,445522
2023-11-26,South,Keyboard,Accessories,7,14730,103110
2024-09-19,Central,Phone,Electronics,6,48860,293160
2024-07-10,South,Laptop,Electronics,4,67622,270488
2023-10-21,North,Tablet,Electronics,6,66530,399180
2024-06-12,East,Phone,Electronics,1,13399,13399
2024-10-02,North,Keyboard,Accessories,3,5244,15732
2024-09-21,Central,Laptop,Electronics,3,45436,136308
2023-07-05,East,Keyboard,Accessories,6,32172,193032
2025-05-17,North,Keyboard,Accessories,2,51104,102208
2024-12-15,North,Tablet,Electronics,3,7278,21834
2025-03-11,East,Laptop,Electronics,10,22589,225890
2025-03-06,Central,Phone,Electronics,7,33616,235312
2024-04-11,North,Tablet,Electronics,2,34747,69494
2023-09-16,Central,Phone,Electronics,5,64293,321465
2025-04-10,South,Laptop,Electronics,9,56419,507771
2024-03-04,North,Tablet,Electronics,10,19160,191600
2025-01-25,West,Laptop,Electronics,6,13204,79224
2024-02-06,East,Tablet,Electronics,10,40219,402190
2025-05-30,Central,Tablet,Electronics,9,51314,461826
2025-06-01,North,Keyboard,Accessories,1,49007,49007
2025-05-14,West,Keyboard,Accessories,9,29568,266112
2025-03-27,West,Phone,Electronics,8,7756,62048
2024-04-08,East,Phone,Electronics,1,65060,65060
2024-12-20,East,Laptop,Electronics,10,43173,431730
2025-05-18,North,Laptop,Electronics,6,66549,399294
2023-08-24,South,Laptop,Electronics,5,69766,348830
2023-07-23,East,Phone,Electronics,1,66489,66489
2024-05-29,North,Keyboard,Accessories,1,14095,14095
2023-12-08,West,Phone,Electronics,4,48075,192300
2024-06-15,North,Phone,Electronics,5,62737,313685
2023-12-04,Central,Monitor,Electronics,9,25019,225171
2024-03-19,Central,Monitor,Electronics,1,36399,36399
2024-05-28,South,Laptop,Electronics,2,68722,137444
2025-03-17,East,Tablet,Electronics,8,25480,203840
2023-08-02,North,Phone,Electronics,4,45305,181220
2023-10-24,South,Monitor,Electronics,4,29178,116712
2024-11-17,South,Tablet,Electronics,10,45160,451600
2025-05-27,South,Tablet,Electronics,3,6608,19824
2023-09-13,East,Phone,Electronics,1,61266,61266
2023-10-13,South,Tablet,Electronics,7,59795,418565
2024-10-01,South,Keyboard,Accessories,6,67639,405834
2025-01-30,North,Monitor,Electronics,6,52677,316062
2025-04-29,West,Tablet,Electronics,7,48538,339766
2023-08-10,North,Monitor,Electronics,7,53942,377594
2023-11-04,North,Tablet,Electronics,3,67654,202962
2025-06-05,North,Laptop,Electronics,1,38961,38961
2024-05-16,Central,Phone,Electronics,1,37834,37834
2025-01-08,Central,Laptop,Electronics,2,35235,70470
2025-02-22,North,Keyboard,Accessories,9,19301,173709
2025-06-18,Central,Phone,Electronics,2,8311,16622
2025-05-26,North,Laptop,Electronics,1,35328,35328
2023-09-23,Central,Laptop,Electronics,2,65140,130280
2023-10-01,West,Laptop,Electronics,8,47163,377304
2023-08-21,Central,Phone,Electronics,10,21469,214690
2024-09-01,Central,Keyboard,Accessories,1,16087,16087
2025-04-28,Central,Monitor,Electronics,7,54086,378602
2024-10-25,West,Monitor,Electronics,7,62435,437045
2025-01-17,East,Keyboard,Accessories,4,31156,124624
2023-08-12,Central,Monitor,Electronics,7,5042,35294
2025-04-01,West,Tablet,Electronics,10,41064,410640
2024-08-30,Central,Keyboard,Accessories,10,55955,559550
2024-04-23,West,Phone,Electronics,9,52793,475137
2024-03-28,Central,Monitor,Electronics,5,60872,304360
2023-11-18,West,Keyboard,Accessories,5,12027,60135
2024-09-18,Central,Phone,Electronics,1,5984,5984
2025-01-30,Central,Tablet,Electronics,8,31644,253152
2025-02-09,South,Tablet,Electronics,8,36879,295032
2024-05-14,Central,Monitor,Electronics,10,6879,68790
2024-07-09,Central,Monitor,Electronics,7,38126,266882
2025-05-03,South,Tablet,Electronics,3,27925,83775
2024-10-13,Central,Keyboard,Accessories,6,66225,397350
2023-10-03,East,Tablet,Electronics,6,48337,290022
2023-11-23,South,Laptop,Electronics,2,55120,110240
2024-07-10,Central,Keyboard,Accessories,7,16942,118594
2024-10-01,North,Tablet,Electronics,2,11683,23366
2025-02-21,Central,Laptop,Electronics,7,17698,123886
2023-09-13,Central,Keyboard,Accessories,9,59304,533736
2023-11-13,South,Phone,Electronics,4,64088,256352
2025-03-06,West,Tablet,Electronics,8,43949,351592
2023-08-29,East,Tablet,Electronics,9,45654,410886
2024-01-28,North,Keyboard,Accessories,8,69442,555536
2023-07-29,Central,Tablet,Electronics,5,35494,177470
2024-12-25,Central,Laptop,Electronics,4,39485,157940
2023-09-14,West,Keyboard,Accessories,5,40394,201970
2025-05-26,North,Keyboard,Accessories,6,13077,78462
2025-05-17,North,Tablet,Electronics,6,11848,71088
2024-10-23,East,Phone,Electronics,7,28187,197309
2024-10-16,South,Phone,Electronics,10,35262,352620
2025-01-04,South,Tablet,Electronics,9,8419,75771
2024-10-01,East,Phone,Electronics,1,57581,57581
2025-02-14,North,Phone,Electronics,2,63971,127942
2024-12-11,West,Keyboard,Accessories,4,40691,162764
2024-09-18,North,Laptop,Electronics,6,28074,168444
2023-07-12,Central,Monitor,Electronics,9,49009,441081
2024-08-27,Central,Phone,Electronics,2,22910,45820
2024-04-15,Central,Phone,Electronics,9,67513,607617
2024-11-20,North,Laptop,Electronics,5,66753,333765
2024-07-24,North,Keyboard,Accessories,6,22397,134382
2023-08-18,South,Laptop,Electronics,6,48026,288156
2023-12-27,West,Keyboard,Accessories,9,8780,79020
2024-02-08,Central,Phone,Electronics,8,37196,297568
2024-06-17,West,Keyboard,Accessories,1,20251,20251
2023-12-13,West,Phone,Electronics,6,65742,394452
2023-10-05,South,Monitor,Electronics,8,62815,502520
2023-10-02,Central,Keyboard,Accessories,3,15627,46881
2024-09-22,East,Phone,Electronics,4,47653,190612
2024-04-16,South,Phone,Electronics,2,32851,65702
2024-06-06,West,Keyboard,Accessories,5,31003,155015
2023-07-14,South,Monitor,Electronics,9,42838,385542
2023-12-28,East,Phone,Electronics,5,60056,300280
2024-01-15,Central,Laptop,Electronics,6,31821,190926
2024-11-01,Central,Phone,Electronics,10,55309,553090
2024-01-01,Central,Monitor,Electronics,7,20294,142058
2023-08-29,West,Phone,Electronics,9,30154,271386
2025-04-20,North,Laptop,Electronics,8,53885,431080
2024-02-17,West,Keyboard,Accessories,2,28754,57508
2024-05-02,North,Laptop,Electronics,6,69113,414678
2023-09-18,North,Keyboard,Accessories,10,12680,126800
2024-06-23,Central,Keyboard,Accessories,10,56683,566830
2024-09-09,South,Tablet,Electronics,5,25725,128625
2024-12-11,East,Laptop,Electronics,3,16895,50685
2023-07-21,Central,Laptop,Electronics,2,20081,40162
2023-10-11,North,Laptop,Electronics,5,63621,318105
2025-06-02,West,Tablet,Electronics,4,26303,105212
2024-08-06,South,Laptop,Electronics,10,10376,103760
2024-04-12,West,Laptop,Electronics,5,58119,290595
2023-08-06,East,Phone,Electronics,5,21185,105925
2024-03-05,North,Keyboard,Accessories,3,28450,85350
2023-12-15,Central,Keyboard,Accessories,5,10845,54225
2024-08-21,Central,Phone,Electronics,7,40380,282660
2025-01-20,South,Tablet,Electronics,6,68332,409992
2025-05-15,North,Monitor,Electronics,6,6316,37896
2024-10-28,Central,Laptop,Electronics,8,31359,250872
2025-05-01,North,Monitor,Electronics,5,50858,254290
2025-04-27,East,Phone,Electronics,2,56475,112950
2025-02-07,East,Monitor,Electronics,5,33827,169135
2024-05-25,Central,Phone,Electronics,4,12555,50220
2024-05-08,South,Tablet,Electronics,1,54952,54952
2025-03-28,Central,Monitor,Electronics,2,55793,111586
2024-12-02,South,Phone,Electronics,2,9784,19568
2023-09-13,Central,Keyboard,Accessories,10,62251,622510
2023-10-10,North,Keyboard,Accessories,8,42866,342928
2024-12-13,South,Tablet,Electronics,3,12762,38286
2023-10-06,North,Phone,Electronics,8,65057,520456
2024-02-19,West,Laptop,Electronics,3,56880,170640
2024-02-22,North,Monitor,Electronics,1,23354,23354
2025-01-23,Central,Monitor,Electronics,4,11979,47916
2024-11-06,North,Phone,Electronics,3,38326,114978
2024-12-11,North,Tablet,Electronics,6,56685,340110
2024-05-21,Central,Tablet,Electronics,8,30134,241072
2024-07-08,South,Phone,Electronics,3,32781,98343
2024-10-02,North,Laptop,Electronics,8,19450,155600
2023-11-29,North,Tablet,Electronics,5,26749,133745
2024-01-15,Central,Tablet,Electronics,1,67004,67004
2023-09-09,North,Keyboard,Accessories,5,37422,187110
2023-07-22,Central,Laptop,Electronics,10,40921,409210
2023-11-12,West,Tablet,Electronics,8,29907,239256
2023-07-23,East,Monitor,Electronics,8,42712,341696
2025-01-22,West,Monitor,Electronics,8,27078,216624
2023-11-01,East,Monitor,Electronics,3,13672,41016
2025-01-05,Central,Phone,Electronics,8,21159,169272
2024-11-03,South,Phone,Electronics,3,11172,33516
2023-07-06,Central,Phone,Electronics,8,7555,60440
2025-01-30,North,Laptop,Electronics,2,7961,15922
2025-02-26,North,Tablet,Electronics,4,69226,276904
2025-03-30,West,Phone,Electronics,4,65000,260000
2024-11-01,East,Tablet,Electronics,10,18023,180230
2025-02-17,North,Laptop,Electronics,10,57824,578240
2025-01-23,North,Phone,Electronics,4,57260,229040
2023-11-05,West,Monitor,Electronics,5,30016,150080
2024-09-15,Central,Keyboard,Accessories,9,59532,535788
2024-10-07,East,Tablet,Electronics,6,25878,155268
2025-04-05,West,Monitor,Electronics,9,6832,61488
2025-03-11,South,Phone,Electronics,1,22178,22178
2024-02-24,West,Keyboard,Accessories,1,7481,7481
2025-04-27,South,Laptop,Electronics,9,64790,583110
2024-01-08,South,Laptop,Electronics,1,32568,32568
2023-07-03,South,Phone,Electronics,4,34405,137620
2023-12-25,East,Monitor,Electronics,4,67874,271496
2025-03-19,South,Laptop,Electronics,3,27166,81498
2025-03-12,South,Monitor,Electronics,6,20567,123402
2025-06-28,East,Phone,Electronics,4,14208,56832
2025-03-11,East,Tablet,Electronics,10,40054,400540
2023-11-22,Central,Phone,Electronics,4,32488,129952
2025-03-15,East,Tablet,Electronics,5,24673,123365
2024-08-22,West,Phone,Electronics,7,43382,303674
2024-03-19,West,Tablet,Electronics,8,13759,110072
2025-04-22,South,Monitor,Electronics,6,24197,145182
2025-06-08,West,Tablet,Electronics,10,35954,359540
2025-02-11,North,Monitor,Electronics,6,24922,149532
2024-03-23,Central,Tablet,Electronics,8,60769,486152
2023-09-19,South,Tablet,Electronics,4,45483,181932
2024-05-18,West,Monitor,Electronics,8,33271,266168
2024-12-25,East,Monitor,Electronics,9,52547,472923
2024-02-22,West,Phone,Electronics,3,20101,60303
2024-03-15,West,Monitor,Electronics,1,69087,69087
2024-07-04,Central,Phone,Electronics,6,12661,75966
2024-08-24,East,Laptop,Electronics,3,19322,57966
2024-08-26,North,Tablet,Electronics,10,18237,182370
2025-03-03,North,Monitor,Electronics,7,24033,168231
2024-10-04,Central,Laptop,Electronics,7,17438,122066
2024-12-20,Central,Tablet,Electronics,10,15626,156260
2024-03-20,Central,Phone,Electronics,1,57665,57665
2024-12-14,North,Phone,Electronics,4,60049,240196
2024-02-29,South,Tablet,Electronics,4,48450,193800
2024-07-29,North,Monitor,Electronics,8,26212,209696
2024-08-22,South,Tablet,Electronics,6,25177,151062
2025-01-29,East,Tablet,Electronics,1,69602,69602
2024-07-18,South,Keyboard,Accessories,10,60034,600340
2025-05-17,Central,Tablet,Electronics,8,53170,425360
2024-05-07,East,Monitor,Electronics,5,23109,115545
2024-01-07,Central,Phone,Electronics,7,56712,396984
2024-11-27,West,Monitor,Electronics,8,53521,428168
2025-01-28,North,Monitor,Electronics,6,9111,54666
2025-01-13,Central,Phone,Electronics,1,11667,11667
2023-11-17,East,Laptop,Electronics,2,13791,27582
2024-06-27,South,Keyboard,Accessories,5,12044,60220
2024-03-17,South,Tablet,Electronics,6,26387,158322
2023-08-07,Central,Laptop,Electronics,5,67192,335960
2024-08-15,North,Laptop,Electronics,7,55817,390719
2024-10-19,South,Keyboard,Accessories,8,46559,372472
2025-02-07,West,Laptop,Electronics,5,5495,27475
2025-06-08,East,Monitor,Electronics,3,21638,64914
2023-10-25,South,Phone,Electronics,4,61448,245792
2024-01-24,East,Phone,Electronics,3,34413,103239
2025-05-21,South,Keyboard,Accessories,2,17477,34954
2024-09-07,North,Monitor,Electronics,3,20135,60405
2024-06-28,North,Keyboard,Accessories,8,69799,558392
2024-01-16,East,Tablet,Electronics,10,40070,400700
2023-10-24,West,Phone,Electronics,8,22696,181568
2025-01-13,East,Phone,Electronics,5,20332,101660
2025-01-30,Central,Monitor,Electronics,7,32446,227122
2024-03-29,West,Laptop,Electronics,8,51851,414808
2023-12-10,East,Laptop,Electronics,2,13606,27212
2024-12-17,Central,Monitor,Electronics,7,12776,89432
2023-12-05,West,Tablet,Electronics,7,10254,71778
2024-09-26,North,Laptop,Electronics,5,64737,323685
2023-12-15,South,Monitor,Electronics,6,11265,67590
2023-11-10,North,Tablet,Electronics,9,33049,297441
2025-02-26,East,Monitor,Electronics,5,52535,262675
2024-11-04,South,Phone,Electronics,7,41153,288071
2024-06-24,South,Monitor,Electronics,10,25294,252940
2024-09-19,South,Tablet,Electronics,9,49036,441324
2025-05-05,East,Keyboard,Accessories,8,47065,376520
2024-02-22,South,Monitor,Electronics,4,43060,172240
2025-01-17,North,Monitor,Electronics,1,61380,61380
2023-10-10,East,Keyboard,Accessories,10,46765,467650
2025-06-29,Central,Tablet,Electronics,8,62202,497616
2024-05-09,West,Keyboard,Accessories,1,29912,29912
2023-12-22,Central,Tablet,Electronics,8,59376,475008
2024-07-01,West,Tablet,Electronics,1,43054,43054
2025-02-01,North,Phone,Electronics,10,60040,600400
2023-07-04,North,Monitor,Electronics,3,44337,133011
2024-10-22,Central,Tablet,Electronics,8,55654,445232
2024-10-28,North,Keyboard,Accessories,9,66895,602055
2024-03-20,East,Phone,Electronics,7,37815,264705
2025-04-05,West,Monitor,Electronics,3,59566,178698
2024-08-09,West,Monitor,Electronics,6,53717,322302
2025-02-04,South,Monitor,Electronics,1,52747,52747
2024-09-13,Central,Keyboard,Accessories,6,60758,364548
2024-08-14,West,Laptop,Electronics,9,16613,149517
2023-07-04,West,Tablet,Electronics,5,36732,183660
2024-09-14,North,Laptop,Electronics,4,53714,214856
2024-12-24,Central,Tablet,Electronics,10,68315,683150
2025-03-11,North,Keyboard,Accessories,8,66994,535952
2024-11-15,West,Keyboard,Accessories,4,69629,278516
2024-06-20,West,Monitor,Electronics,1,8811,8811
2025-01-11,East,Tablet,Electronics,1,7882,7882
2024-08-20,Central,Phone,Electronics,6,49599,297594
2023-07-10,North,Monitor,Electronics,2,48843,97686
2024-08-30,North,Keyboard,Accessories,3,33594,100782
2023-07-25,East,Phone,Electronics,1,62581,62581
2023-12-09,Central,Tablet,Electronics,10,56582,565820
2024-07-16,South,Phone,Electronics,8,22718,181744
2023-10-26,North,Phone,Electronics,10,29090,290900
2024-12-13,South,Tablet,Electronics,3,21904,65712
2023-11-04,North,Keyboard,Accessories,9,7106,63954
2025-06-23,East,Phone,Electronics,7,25394,177758
2023-12-06,East,Phone,Electronics,9,62994,566946
2024-02-24,South,Keyboard,Accessories,4,32289,129156
2024-07-18,East,Phone,Electronics,2,15994,31988
2024-03-26,Central,Monitor,Electronics,5,12159,60795
2023-10-03,West,Keyboard,Accessories,6,63324,379944
2024-06-28,North,Keyboard,Accessories,10,40576,405760
2024-04-12,North,Monitor,Electronics,8,40083,320664
2024-05-02,Central,Laptop,Electronics,3,13857,41571
2023-10-27,South,Keyboard,Accessories,1,44725,44725
2023-10-16,North,Laptop,Electronics,9,30939,278451
2024-04-17,West,Tablet,Electronics,4,17035,68140
2024-03-12,North,Laptop,Electronics,10,33257,332570
2024-08-05,Central,Tablet,Electronics,9,68565,617085
2024-03-01,West,Monitor,Electronics,9,18591,167319
2025-06-10,South,Laptop,Electronics,4,14844,59376
2023-10-03,North,Keyboard,Accessories,9,57097,513873
2024-02-20,South,Tablet,Electronics,3,38645,115935
2025-06-10,North,Phone,Electronics,7,43772,306404
2024-09-01,East,Phone,Electronics,9,9934,89406
2024-09-07,Central,Phone,Electronics,1,34251,34251
2024-05-30,South,Keyboard,Accessories,3,15178,45534
2024-06-20,West,Laptop,Electronics,1,68140,68140
2024-05-10,South,Tablet,Electronics,7,68993,482951
2024-11-17,East,Laptop,Electronics,5,47795,238975
2024-03-26,West,Phone,Electronics,9,22244,200196
2024-09-21,West,Laptop,Electronics,3,38934,116802
2023-10-05,South,Monitor,Electronics,4,8778,35112
2023-12-07,West,Laptop,Electronics,5,65831,329155
2025-02-19,South,Keyboard,Accessories,7,55274,386918
2024-10-22,Central,Phone,Electronics,9,63950,575550
2024-02-23,Central,Phone,Electronics,1,13395,13395
2023-12-13,North,Monitor,Electronics,6,17574,105444
2023-07-18,East,Tablet,Electronics,5,26400,132000
2025-02-16,North,Keyboard,Accessories,6,21218,127308
2024-11-18,East,Monitor,Electronics,9,59206,532854
